ID,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,adopter,tenure,good_country
1,22,0,8,22.57142857,0.428571429,1,0,9687,194,0,1,8,0,59,1
2,35,0,2,28,1,2,0,0,0,0,0,0,0,35,0
3,27,1,2,23,1,1,0,508,0,0,1,2,0,42,0
4,21,0,28,22.94736842,0.5,7,1,1357,32,0,0,1,0,25,0
5,24,0,65,22.28301887,0.913793103,9,0,89984,20,2,0,81,0,67,0
6,21,1,12,25,0.777777778,1,0,124547,10,0,1,2,0,53,1
7,20,0,15,22,0.636363636,1,0,24852,391,6,1,67,0,56,1
8,23,1,57,23.63636364,0.520833333,14,1,99877,125,89,1,44,0,71,0
9,24,0,4,22,0,1,0,6125,42,0,0,5,0,34,1
10,34,1,13,29.77777778,1,3,0,15997,82,0,1,3,0,49,1
11,20,0,18,23.53846154,0.6875,11,1,57,15,4,1,18,0,30,0
12,23,0,2,23.5,0.5,1,0,5706,1,0,1,3,0,42,1
13,19,0,3,17.5,0.333333333,2,0,17,5,0,0,3,0,33,0
14,25,0,10,25.4,0.857142857,2,0,2323,451,0,1,10,0,45,1
15,19,0,31,20.16666667,0.68,8,0,38630,173,0,0,1195,0,33,0
16,25,1,4,25,0,1,0,24066,2,0,1,4,0,61,0
17,33,1,2,31,0,1,1,80214,16,0,1,8,0,60,0
18,24,0,1,20,0,1,0,0,0,0,0,3,0,38,0
19,22,0,3,23,0.5,1,0,12621,0,3,0,12,0,69,0
20,28,1,13,25.33333333,0.4,2,1,3372,9,0,0,4,0,51,0
21,24,0,7,25.83333333,0.8,4,1,9870,141,0,1,4,0,54,0
22,36,1,4,25,0.75,4,1,17951,7,0,1,0,0,61,0
23,28,1,2,21,1,1,0,14661,3,0,1,2,0,54,0
24,21,0,1,21,1,1,0,454,14,0,0,1,0,15,1
25,17,1,2,38,1,1,0,2290,0,0,1,1,0,52,1
26,20,0,17,21.69230769,0.538461539,4,0,53133,68,0,0,8,0,35,1
27,22,1,1,25,0,1,0,246,7,0,0,2,0,17,0
28,20,1,20,21.125,1,2,1,4492,3,1,0,15,0,35,0
29,26,1,12,25.33333333,0.727272727,4,0,22762,122,11,2,0,0,67,0
30,27,0,1,23,0,1,0,727,1,0,0,1,0,63,0
31,21,1,2,24,1,1,0,1543,0,0,0,3,0,53,0
32,18,0,1,18,0,1,0,0,4,0,0,1,0,13,0
33,26,1,2,21.5,1,1,0,1949,0,0,0,3,0,54,0
34,41,1,19,31.0625,0.75,5,1,41867,29,0,1,2,0,36,0
35,23,1,5,24.66666667,0.4,1,0,23577,3,1,1,34,0,66,1
36,22,0,11,21.1,0.3,3,0,9005,184,0,1,19,0,16,0
37,18,0,22,22.17647059,0.736842105,6,1,12133,41,0,0,0,0,15,0
38,20,0,1,17,1,1,0,2345,3,0,0,1,0,24,0
39,19,1,2,18.5,0.5,1,0,13271,3,0,0,2,0,16,1
40,30,0,8,27.6,1,2,0,4369,279,0,1,7,0,49,0
41,18,0,2,8,0.5,1,0,4914,43,0,0,7,0,17,0
42,20,1,5,21,0.6,3,0,32770,12,0,0,2,0,45,0
43,25,1,1,25,1,1,1,0,0,0,1,0,0,5,0
44,18,0,38,19.04,0.6875,3,0,23022,34,0,0,80,0,40,0
45,26,0,6,24.25,0.666666667,3,0,19156,95,1,1,101,0,51,0
46,26,1,2,24,1,1,0,110,0,0,0,1,0,33,0
47,41,1,7,27.6,1,2,0,0,0,0,0,14,0,70,0
48,18,1,4,17,0.25,2,0,182,18,0,1,2,0,45,0
49,23,1,2,22.5,1,1,0,9216,0,0,0,6,0,44,0
50,22,0,3,23,0,1,0,4080,0,0,1,1,0,48,0
51,19,0,1,19,0,1,0,0,34,0,0,2,0,32,0
52,30,1,3,29,1,1,0,1647,33,0,1,1,0,44,0
53,20,1,4,34.66666667,0.5,1,0,2873,304,0,0,4,0,20,1
54,28,1,3,22.66666667,0,2,0,24,0,1,1,8,0,50,0
